age	year	catch.n	catch.wt
5	1975	25672	0.52
6	1975	21311	0.62
7	1975	11873	0.68
8	1975	5923	0.75
9	1975	4106	0.83
10	1975	19695	1.08
1	1976	186699	0.09
2	1976	174564	0.18
3	1976	148703	0.26
4	1976	114411	0.35
5	1976	13953	0.52
6	1976	9945	0.61
7	1976	9120	0.66
8	1976	6391	0.72
9	1976	2947	0.76
10	1976	12552	1.01
1	1977	259848	0.07
2	1977	160665	0.22
3	1977	122606	0.24
4	1977	99565	0.32
5	1977	93022	0.4
6	1977	9271	0.55
7	1977	5912	0.65
8	1977	5022	0.72
9	1977	4061	0.72
10	1977	9191	0.98
1	1978	228015	0.07
2	1978	214691	0.19
3	1978	89600	0.31
4	1978	65116	0.35
5	1978	51346	0.42
6	1978	36080	0.47
7	1978	5940	0.59
8	1978	3352	0.66
9	1978	2419	0.75
10	1978	7468	0.92
1	1979	294484	0.07
2	1979	273115	0.19
3	1979	176441	0.29
4	1979	67344	0.34
5	1979	48475	0.43
6	1979	40242	0.47
7	1979	24228	0.55
8	1979	4161	0.67
9	1979	2807	0.79
10	1979	9288	0.96
1	1980	227350	0.06
2	1980	187465	0.2
3	1980	134673	0.35
4	1980	78210	0.4
5	1980	25167	0.48
6	1980	18068	0.55
7	1980	13761	0.6
8	1980	8458	0.67
9	1980	1864	0.78
10	1980	5377	1.03
1	1981	134395	0.05
2	1981	294168	0.18
3	1981	124146	0.33
4	1981	57977	0.42
5	1981	36176	0.51
6	1981	12469	0.57
7	1981	9564	0.61
8	1981	8092	0.65
9	1981	4874	0.74
10	1981	5903	1.02
1	1982	414641	0.06
2	1982	252348	0.15
3	1982	213631	0.31
4	1982	70653	0.42
5	1982	28871	0.52
6	1982	16824	0.61
7	1982	7589	0.67
8	1982	5470	0.72
9	1982	4482	0.74
10	1982	8653	0.99
1	1983	262614	0.05
2	1983	556026	0.15
3	1983	145750	0.27
4	1983	101311	0.38
5	1983	30163	0.5
6	1983	12978	0.6
7	1983	8216	0.67
8	1983	4193	0.77
9	1983	3013	0.81
10	1983	8287	0.98
1	1984	310783	0.06
2	1984	376742	0.15
3	1984	326860	0.26
4	1984	78078	0.32
5	1984	38960	0.47
6	1984	13730	0.6
7	1984	6465	0.67
8	1984	5544	0.71
9	1984	2720	0.82
10	1984	6565	1.02
1	1985	405506	0.06
2	1985	302760	0.17
3	1985	179882	0.26
4	1985	187424	0.33
5	1985	32720	0.45
6	1985	15622	0.56
7	1985	6871	0.66
8	1985	3650	0.71
9	1985	2698	0.79
10	1985	5798	1
1	1986	1119019	0.05
2	1986	558090	0.14
3	1986	212227	0.27
4	1986	120271	0.31
5	1986	85930	0.42
6	1986	24195	0.48
7	1986	9299	0.67
8	1986	4490	0.74
9	1986	2733	0.84
10	1986	6950	1
1	1987	361519	0.04
2	1987	1459325	0.11
3	1987	296920	0.22
4	1987	112666	0.34
5	1987	66106	0.39
6	1987	34976	0.5
7	1987	11452	0.58
8	1987	4341	0.72
9	1987	2154	0.82
10	1987	5478	0.98
1	1988	348597	0.04
2	1988	623255	0.1
3	1988	710060	0.2
4	1988	135502	0.27
5	1988	48262	0.44
6	1988	25268	0.5
7	1988	16774	0.6
8	1988	5381	0.69
9	1988	3162	0.8
10	1988	6233	1
1	1989	214552	0.05
2	1989	532602	0.12
3	1989	299105	0.21
4	1989	317172	0.29
5	1989	60133	0.36
6	1989	19362	0.52
7	1989	10567	0.59
8	1989	7561	0.66
9	1989	2120	0.78
10	1989	5580	0.93
1	1990	146864	0.06
2	1990	311831	0.13
3	1990	266440	0.21
4	1990	139099	0.29
5	1990	164825	0.36
6	1990	26934	0.44
7	1990	8129	0.59
8	1990	4216	0.68
9	1990	3451	0.75
10	1990	3808	0.99
1	1991	184587	0.06
2	1991	344841	0.15
3	1991	225170	0.21
4	1991	156894	0.27
5	1991	78489	0.34
6	1991	78496	0.44
7	1991	14910	0.51
8	1991	5233	0.65
9	1991	3141	0.72
10	1991	5591	0.89
1	1992	142165	0.06
2	1992	263573	0.15
3	1992	179701	0.22
4	1992	106842	0.27
5	1992	77010	0.33
6	1992	34286	0.41
7	1992	29547	0.52
8	1992	6970	0.59
9	1992	3200	0.7
10	1992	6928	0.87
1	1993	99832	0.07
2	1993	208032	0.16
3	1993	146463	0.25
4	1993	84252	0.3
5	1993	53040	0.34
6	1993	29217	0.41
7	1993	13472	0.51
8	1993	11272	0.62
9	1993	3645	0.7
10	1993	5883	0.84
1	1994	63516	0.07
2	1994	140851	0.18
3	1994	137320	0.25
4	1994	81274	0.33
5	1994	39364	0.38
6	1994	20532	0.44
7	1994	15323	0.49
8	1994	6399	0.59
9	1994	5368	0.71
10	1994	5433	0.88
1	1995	126614	0.07
2	1995	119251	0.18
3	1995	97151	0.28
4	1995	79230	0.33
5	1995	37162	0.4
6	1995	18073	0.45
7	1995	9772	0.52
8	1995	4366	0.61
9	1995	2336	0.73
10	1995	3753	0.9
1	1996	112354	0.05
2	1996	373561	0.14
3	1996	91988	0.26
4	1996	50289	0.34
5	1996	32581	0.41
6	1996	14576	0.48
7	1996	10605	0.49
8	1996	4528	0.58
9	1996	2624	0.71
10	1996	4892	0.84
1	1997	129545	0.04
2	1997	553773	0.13
3	1997	280776	0.21
4	1997	44257	0.36
5	1997	22812	0.45
6	1997	13626	0.52
7	1997	6362	0.6
8	1997	3632	0.61
9	1997	2179	0.68
10	1997	4181	0.92
1	1998	104734	0.05
2	1998	676651	0.09
3	1998	260551	0.2
4	1998	109683	0.29
5	1998	17010	0.48
6	1998	6465	0.59
7	1998	4986	0.62
8	1998	2506	0.68
9	1998	1761	0.69
10	1998	3119	0.9
1	1999	127870	0.06
2	1999	217090	0.1
3	1999	387740	0.2
4	1999	94726	0.26
5	1999	24390	0.45
6	1999	6887	0.54
7	1999	2783	0.62
8	1999	2246	0.67
9	1999	1521	0.74
10	1999	3093	0.8
1	2000	106056	0.06
2	2000	187647	0.12
3	2000	91904	0.21
4	2000	230201	0.27
5	2000	16625	0.4
6	2000	9655	0.47
7	2000	2399	0.61
8	2000	1198	0.59
9	2000	940	0.73
10	2000	2097	0.86
1	2001	34804	0.09
2	2001	388808	0.14
3	2001	240444	0.19
4	2001	123671	0.23
5	2001	144551	0.3
6	2001	7048	0.47
7	2001	4464	0.58
8	2001	1128	0.7
9	2001	637	0.79
10	2001	2309	0.79
1	2002	311003	0.06
2	2002	193978	0.13
3	2002	136274	0.22
4	2002	61739	0.28
5	2002	38681	0.33
6	2002	38638	0.43
7	2002	4763	0.49
8	2002	1789	0.68
9	2002	742	0.75
10	2002	1586	0.88
1	2003	68309	0.07
2	2003	560788	0.12
3	2003	101562	0.22
4	2003	68836	0.28
5	2003	31339	0.34
6	2003	16454	0.4
7	2003	22821	0.41
8	2003	1609	0.64
9	2003	650	0.75
10	2003	859	0.84
1	2004	233397	0.06
2	2004	191141	0.12
3	2004	221343	0.22
4	2004	43238	0.3
5	2004	22201	0.38
6	2004	11650	0.43
7	2004	4830	0.5
8	2004	4556	0.55
9	2004	412	0.79
10	2004	540	0.86
1	2005	96478	0.07
2	2005	342682	0.12
3	2005	72076	0.21
4	2005	103120	0.3
5	2005	21746	0.35
6	2005	15610	0.34
7	2005	5489	0.46
8	2005	2615	0.54
9	2005	2223	0.6
10	2005	613	0.89
1	2006	220828	0.06
2	2006	244064	0.14
3	2006	177680	0.21
4	2006	35910	0.29
5	2006	45525	0.39
6	2006	6965	0.4
7	2006	5721	0.44
8	2006	2247	0.46
9	2006	1235	0.53
10	2006	1319	0.76
1	2007	78598	0.06
2	2007	224345	0.11
3	2007	106621	0.22
4	2007	57788	0.31
5	2007	16408	0.36
6	2007	24293	0.38
7	2007	2663	0.51
8	2007	3505	0.35
9	2007	543	0.59
10	2007	1259	0.62
1	2008	135786	0.06
2	2008	263599	0.12
3	2008	80258	0.24
4	2008	44207	0.32
5	2008	31758	0.39
6	2008	6217	0.43
7	2008	15634	0.36
8	2008	1803	0.46
9	2008	673	0.64
10	2008	896	0.64
